Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
34541863,"""A"" Cell Breeding Device",spell,Continuous,,,,,
64163367,"""A"" Cell Incubator",spell,Continuous,,,,,
91231901,"""A"" Cell Recombination Device",spell,Quick-Play,,,,,
73262676,"""A"" Cell Scatter Burst",spell,Quick-Play,,,,,
98319530,"""Infernoble Arms - Almace""",spell,Equip,,,,,
37478723,"""Infernoble Arms - Durendal""",spell,Equip,,,,,
64867422,"""Infernoble Arms - Hauteclere""",spell,Equip,,,,,
90861137,"""Infernoble Arms - Joyeuse""",spell,Equip,,,,,
44256816,1st Movement Solo,spell,Normal,,,,,
86988864,3-Hump Lacooda,effect,Beast,3,,500,1500,EARTH
11714098,"30,000-Year White Turtle",normal,Aqua,5,,1250,2100,WATER
83994646,4-Starred Ladybug of Doom,effect,Insect,3,,800,1200,WIND
67048711,7,spell,Continuous,,,,,
23771716,7 Colored Fish,normal,Fish,4,,1800,800,WATER
86198326,7 Completed,spell,Equip,,,,,
14261867,8-Claws Scorpion,effect,Insect,2,,300,200,DARK
24140059,A Cat of Ill Omen,effect,Beast,2,,500,300,DARK
6850209,A Deal with Dark Ruler,spell,Quick-Play,,,,,
49140998,A Feather of the Phoenix,spell,Normal,,,,,
68170903,A Feint Plan,trap,Normal,,,,,
21597117,A Hero Emerges,trap,Normal,,,,,
8949584,A Hero Lives,spell,Normal,,,,,
295517,A Legendary Ocean,spell,Field,,,,,
32207100,A Major Upset,trap,Normal,,,,,
51351302,A Man with Wdjat,effect,Spellcaster,4,,1600,1600,DARK
5728014,A Rival Appears!,trap,Normal,,,,,
44553392,"A Shattered, Colorless Realm",trap,Normal,,,,,
23587624,A Wild Monster Appears!,spell,Normal,,,,,
28596933,A Wingbeat of Giant Dragon,spell,Normal,,,,,
30012506,A-Assault Core,effect,Machine,4,,1900,200,LIGHT
13026402,A-Team: Trap Disposal Unit,effect,Machine,2,,300,400,FIRE
75926389,A-to-Z Energy Load,trap,Normal,,,,,
65172015,A-to-Z-Dragon Buster Cannon,fusion,Machine,10,,4000,4000,LIGHT
28645123,A.I. Challenge You,trap,Continuous,,,,,
10493654,A.I. Contact,spell,Normal,,,,,
59332125,A.I. Love Fusion,spell,Normal,,,,,
6552971,A.I. Meet You,spell,Normal,,,,,
77421977,A.I. Shadow,trap,Continuous,,,,,
85327820,A.I.'s Ritual,spell,Ritual,,,,,
54374642,A.I.'s Show,trap,Normal,,,,,
22933016,A.I.dle Reborn,spell,Quick-Play,,,,,
69381150,A.I.Q,trap,Continuous,,,,,
96146814,A/D Changer,effect,Warrior,1,,100,100,LIGHT
10796448,A?Speculation,fusion,Warrior,7,,2500,2500,LIGHT
12694768,Abaki,effect,Fiend,4,,1700,1100,FIRE
89718302,Abare Ushioni,effect,Beast-Warrior,4,,1200,1200,EARTH
1561110,ABC-Dragon Buster,fusion,Machine,8,,3000,2800,LIGHT
80801743,Abominable Chamber of the Unchained,trap,Normal,,,,,
1966438,Abominable Unchained Soul,effect,Fiend,8,,3000,1500,DARK
27412542,Abomination's Prison,spell,Normal,,,,,
70832512,Absolute Crusader,effect,Warrior,4,,1800,1200,EARTH
27744077,Absolute End,trap,Normal,,,,,
27553701,Absolute King - Megaplunder,normal,Dinosaur,6,,2000,1500,EARTH
60990740,Absolute King Back Jack,effect,Fiend,1,,0,0,DARK
51779204,Absolute Powerforce,spell,Quick-Play,,,,,
71422989,Absorb Fusion,spell,Normal,,,,,
3900605,Absorbing Jar,effect,Rock,3,,600,500,EARTH
49771608,Absorbing Kid from the Sky,effect,Fairy,4,,1300,1000,LIGHT
67748760,Absorouter Dragon,effect,Dragon,7,,1200,2800,DARK
15308295,Abyss Actor - Comic Relief,effect_pendulum,Fiend,3,8,1000,2000,DARK
44179224,Abyss Actor - Curtain Raiser,effect_pendulum,Fiend,4,7,1100,1000,DARK
52240819,Abyss Actor - Evil Heel,effect_pendulum,Fiend,8,1,3000,2000,DARK
88412339,Abyss Actor - Extras,effect_pendulum,Fiend,1,3,100,100,DARK
99634927,Abyss Actor - Funky Comedian,effect_pendulum,Fiend,1,8,300,200,DARK
2368215,Abyss Actor - Hyper Director,link,Fiend,1,,800,,DARK
24907044,Abyss Actor - Leading Lady,effect_pendulum,Fiend,4,2,1500,1000,DARK
65477143,Abyss Actor - Liberty Dramatist,effect_pendulum,Fiend,4,8,1500,1500,DARK
78310590,Abyss Actor - Mellow Madonna,effect_pendulum,Fiend,7,0,1800,2500,DARK
51028231,Abyss Actor - Sassy Rookie,effect_pendulum,Fiend,4,2,1700,1000,DARK
47404795,Abyss Actor - Super Producer,link,Fiend,2,,1600,,DARK
25629622,Abyss Actor - Superstar,effect_pendulum,Fiend,7,3,2500,1800,DARK
39024589,Abyss Actor - Trendy Understudy,effect_pendulum,Fiend,2,8,700,700,DARK
7279373,Abyss Actor - Twinkle Little Star,effect_pendulum,Fiend,4,9,1000,1000,DARK
51391183,Abyss Actor - Wild Hope,effect_pendulum,Fiend,4,2,1600,1200,DARK
59057953,Abyss Actors Back Stage,trap,Normal,,,,,
