Id,Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
1,34541863,"""A"" Cell Breeding Device",spell,Continuous,0,-1,0,0,
2,64163367,"""A"" Cell Incubator",spell,Continuous,0,-1,0,0,
3,91231901,"""A"" Cell Recombination Device",spell,Quick-Play,0,-1,0,0,
4,73262676,"""A"" Cell Scatter Burst",spell,Quick-Play,0,-1,0,0,
5,98319530,"""Infernoble Arms - Almace""",spell,Equip,0,-1,0,0,
6,37478723,"""Infernoble Arms - Durendal""",spell,Equip,0,-1,0,0,
7,64867422,"""Infernoble Arms - Hauteclere""",spell,Equip,0,-1,0,0,
8,90861137,"""Infernoble Arms - Joyeuse""",spell,Equip,0,-1,0,0,
9,44256816,1st Movement Solo,spell,Normal,0,-1,0,0,
10,86988864,3-Hump Lacooda,effect,Beast,3,-1,0,0,EARTH
11,11714098,"30 000-Year White Turtle",normal,Aqua,5,-1,0,0,WATER
12,83994646,4-Starred Ladybug of Doom,effect,Insect,3,-1,0,0,WIND
13,67048711,7,spell,Continuous,0,-1,0,0,
14,23771716,7 Colored Fish,normal,Fish,4,-1,0,0,WATER
15,86198326,7 Completed,spell,Equip,0,-1,0,0,
16,14261867,8-Claws Scorpion,effect,Insect,2,-1,0,0,DARK
17,24140059,A Cat of Ill Omen,effect,Beast,2,-1,0,0,DARK
18,6850209,A Deal with Dark Ruler,spell,Quick-Play,0,-1,0,0,
19,49140998,A Feather of the Phoenix,spell,Normal,0,-1,0,0,
20,68170903,A Feint Plan,trap,Normal,0,-1,0,0,
21,21597117,A Hero Emerges,trap,Normal,0,-1,0,0,
22,8949584,A Hero Lives,spell,Normal,0,-1,0,0,
23,295517,A Legendary Ocean,spell,Field,0,-1,0,0,
24,32207100,A Major Upset,trap,Normal,0,-1,0,0,
25,51351302,A Man with Wdjat,effect,Spellcaster,4,-1,0,0,DARK
26,5728014,A Rival Appears!,trap,Normal,0,-1,0,0,
27,44553392,"A Shattered Colorless Realm",trap,Normal,0,-1,0,0,
28,23587624,A Wild Monster Appears!,spell,Normal,0,-1,0,0,
29,28596933,A Wingbeat of Giant Dragon,spell,Normal,0,-1,0,0,
30,30012506,A-Assault Core,effect,Machine,4,-1,0,0,LIGHT
31,13026402,A-Team: Trap Disposal Unit,effect,Machine,2,-1,0,0,FIRE
32,75926389,A-to-Z Energy Load,trap,Normal,0,-1,0,0,
33,65172015,A-to-Z-Dragon Buster Cannon,fusion,Machine,10,-1,0,0,LIGHT
34,28645123,A.I. Challenge You,trap,Continuous,0,-1,0,0,
35,10493654,A.I. Contact,spell,Normal,0,-1,0,0,
36,59332125,A.I. Love Fusion,spell,Normal,0,-1,0,0,
37,6552971,A.I. Meet You,spell,Normal,0,-1,0,0,
38,77421977,A.I. Shadow,trap,Continuous,0,-1,0,0,
39,85327820,A.I.'s Ritual,spell,Ritual,0,-1,0,0,
40,54374642,A.I.'s Show,trap,Normal,0,-1,0,0,
41,22933016,A.I.dle Reborn,spell,Quick-Play,0,-1,0,0,
